date,year_month,year,month,monthly_pipeline_value,monthly_weighted_pipeline_value,closed_won_revenue,closed_lost_value,avg_days_to_close,win_rate,average_deal_size,closed_won_revenue_rolling_3m,closed_won_revenue_rolling_6m,pipeline_coverage_ratio,date_key
2016-11-01,2016-11,2016,11,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,20161101
2016-12-01,2016-12,2016,12,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,20161201
2017-01-01,2017-01,2017,1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,20170101
2017-02-01,2017-02,2017,2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,20170201
2017-03-01,2017-03,2017,3,1134672.0,1134672.0,1134672.0,0.0,66.52859350850078,0.8207109737248841,1447.2857142857142,378224.0,226934.4,1.0,20170301
2017-04-01,2017-04,2017,4,721932.0,721932.0,721932.0,0.0,6.143344709897611,0.4863481228668942,1021.1202263083451,618868.0,309434.0,1.0,20170401
2017-05-01,2017-05,2017,5,1025713.0,1025713.0,1025713.0,0.0,60.059627329192544,0.5440993788819876,1092.346112886049,960772.3333333334,480386.1666666667,1.0,20170501
2017-06-01,2017-06,2017,6,1338466.0,1338466.0,1338466.0,0.0,66.9578783151326,0.828393135725429,1779.875,1028703.6666666666,703463.8333333334,1.0,20170601
2017-07-01,2017-07,2017,7,696932.0,696932.0,696932.0,0.0,6.422647527910685,0.49122807017543857,677.290573372206,1020370.3333333334,819619.1666666666,1.0,20170701
2017-08-01,2017-08,2017,8,1050059.0,1050059.0,1050059.0,0.0,61.23184713375796,0.5681528662420382,1010.6438883541867,1028485.6666666666,994629.0,1.0,20170801
2017-09-01,2017-09,2017,9,1235264.0,1235264.0,1235264.0,0.0,63.023622047244096,0.7921259842519685,1676.0705563093622,994085.0,1011394.3333333334,1.0,20170901
2017-10-01,2017-10,2017,10,731980.0,731980.0,731980.0,0.0,6.249116607773852,0.4929328621908127,1173.0448717948718,1005767.6666666666,1013069.0,1.0,20171001
2017-11-01,2017-11,2017,11,938943.0,938943.0,938943.0,0.0,58.446614583333336,0.5286458333333334,1163.4981412639406,968729.0,998607.3333333334,1.0,20171101
2017-12-01,2017-12,2017,12,1131573.0,1131573.0,1131573.0,0.0,66.9431643625192,0.7849462365591398,1691.439461883408,934165.3333333334,964125.1666666666,1.0,20171201
