Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Staff Development,1/07/2022,21940,Blue Chip Minds,"Yallambie, VIC",No,No,,,,,,,,,367507,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,1/07/2022,265650,Lucid Synthesis Pty Ltd,"Rochedale South, QLD",No,No,,,,,,,,,367506,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,1/07/2022,14027,Qt Gold Coast,"Surfers Paradise, Qld",No,No,,,,,,,,,367490,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,1/07/2022,53466,Systemax Pty Ltd,"Capalaba, Qld",No,No,,,,,,,,,375395 367579,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Computer Equipment,1/07/2022,33268,The School Locker,"Yeronga, Qld",No,No,,,,,,,,,367491,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Laboratory Consumables,4/07/2022,11106,Agilent Technologies Australia Pty Ltd,"Mulgrave, Vic",No,No,,,,,,,,,367508,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,4/07/2022,29898,Amalgamated Property Maint. Brisbane P/L,"Rochedale South, Qld",No,No,,,,,,,,,367524 367578,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Relocation Services,4/07/2022,13579,Grace Worldwide (Australia) Pty Ltd,"Seven Hills, Nsw",No,No,,,,,,,,,367509,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,4/07/2022,108266,Minearc Systems,"Kewdale, Wa",No,No,,,,,,,,,367537,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,4/07/2022,15495,Qiagen Pty Ltd,"Chadstone, Vic",No,No,,,,,,,,,367535,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Recruitment/Placement Fees,4/07/2022,15532,Randstad Pty Limited,"Sydney, Nsw",No,No,,,,,,,,,367525,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Relocation Services,4/07/2022,12162,Sirva Relocation,"Richlands, Qld",No,No,,,,,,,,,367564,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,4/07/2022,27362,Taylor And Grace Pty Ltd,"Albert Park, VIC",No,No,,,,,,,,,367521,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,4/07/2022,11842,Yes Fire Pty Ltd,"Yatala, Qld",No,No,,,,,,,,,367523,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,4/07/2022,11842,Yes Fire Pty Ltd,"Yatala, Qld",No,No,,,,,,,,,367523,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,5/07/2022,603416,Pricewaterhousecoopers,"Brisbane, Qld",No,No,Selective,,,,,,,,367603,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,5/07/2022,11748,The Trustee For Hoof Protecta Enterprise,"Dry Creek, Sa",No,No,,,,,,,,,367592,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,5/07/2022,11230,Thermo Fisher Scientific Australia,"Scoresby, Vic",No,No,,,,,,,,,367586,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,6/07/2022,32474,Arrayjet Ltd,Scotland,No,No,,,,,,,,,367624,,,,,,
