Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Pathology Expenditure,1/07/2024,22000,Australian Genome Research Facility Ltd,"St Lucia, Qld",No,,,,,,,,,,391036,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,1/07/2024,1222793,Flexdata Solutions Pty Ltd,"Brisbane, Qld",No,,Selective,,,,,,,,391042,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,1/07/2024,19736,Wellington Laboratories Inc.,Canada,No,,,,,,,,,,391018,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",External Course Delivery,2/07/2024,21462,Acer - Aust Council For Edu Research Ltd,"Camberwell, Vic",No,,,,,,,,,,2077581,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Audit Fees,2/07/2024,24970,Bdo Services Pty Ltd,"Brisbane, Qld",No,,,,,,,,,,2080778,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/07/2024,41376,Brendan Francis Mullen,Qld,No,,,,,,,,,,2083769 2104731,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",External Course Delivery,2/07/2024,12761,Empius Pty Ltd,"Wynnym, Qld",No,,,,,,,,,,2078574,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/07/2024,11442,Mctaggart Plumbing Pty Ltd,"Petrie, Qld",No,,,,,,,,,,391065,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,2/07/2024,191252,Nationwide News Pty Ltd News Pty Limited,"Surry Hills, Nsw",No,,,,,,,,,,392635,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/07/2024,121970,Steadfast Projects Pty Ltd,"Upper Kedron, Qld",Yes,,,,,,,,,,391064,,,,,,
