Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2023,50674,Claire Jackson,South Australia,No,No,,,,,,,,,2042771 2038280 2040883 2042771 2046039,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/07/2023,18032,Acer - Aust Council For Edu Research Ltd,"Camberwell, Vic",No,No,,,,,,,,,2019126,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,3/07/2023,416350,A.G. Coombs (Qld) Pty. Ltd.,"Fortitude Valley, Qld",Yes,No,,,,,,,,,380207,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/07/2023,30000,Eluned Jones,United Kingdom,No,No,,,,,,,,,380202,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,3/07/2023,74230,Fire Services Queensland Pty Ltd,"Chermside, Qld",No,No,,,,,,,,,380194,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Vehicle Acquisition,3/07/2023,131052,James Frizelle's Automotive Group P/L,"Southport, Qld",No,No,,,,,,,,,380233,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical/Biological Products,3/07/2023,46737,"Pel-Freez, Inc",Usa,No,No,,,,,,,,,380235,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/07/2023,19668,The Workssydney Pty Ltd,"Sydney, Nsw",Yes,No,,,,,,,,,2022502 2022503,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/07/2023,71627,University Of New South Wales,"Sydney, Nsw",No,No,,,,,,,,,2021502 2039092,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,4/07/2023,98120,Aust Higher Education Industrial Assoc,"Melbourne, Vic",No,No,,,,,,,,,2022788,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical/Biological Products,4/07/2023,15453,Bio-Rad Laboratories Pty Ltd,"South Granville, Nsw",No,No,,,,,,,,,380247,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,4/07/2023,37358,Intuit Technologies Pty Ltd,"Battery Point, Tas",No,No,,,,,,,,,380245,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,4/07/2023,30712,Lovework Studio Pty Ltd,"Woody Point, Qld",No,No,,,,,,,,,380242,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,4/07/2023,20881,Mccullough Robertson Lawyers,"Brisbane, Qld",yes,No,,,,,,,,,380257,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical/Biological Products,4/07/2023,14915,Tecan Australia Pty Ltd,"Port Melbourne, Vic",No,No,,,,,,,,,380267,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,4/07/2023,13497,Techniche Apac Pty Ltd,"Milton, Qld",No,No,,,,,,,,,380246,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,4/07/2023,14300,Turner & Townsend Pty Ltd,"Brisbane, Qld",No,No,,,,,,,,,380268,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,5/07/2023,180692,Alfred Health,"Melbourne, Vic",No,No,,,,,,,,,2023001,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,5/07/2023,691501,Eight 3 Constructions Pty Ltd,"Geebung, Qld",No,No,Selective,,,,,,,,380291,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,5/07/2023,30382,Sure Power,"East Brisbane, Qld",No,No,,,,,,,,,380297,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,6/07/2023,49500,Dan K Pearson,Queensland,No,No,,,,,,,,,2020091 2044685,,,,,,
