Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,1/07/2025,11000,Australian Business Deans Council Incorp,"Kensington, Nsw",,,,,,,,,,,2135924,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,1/07/2025,33079,Crown Equipment Pty. Limited,"Smithfield, Nsw",,,,,,,,,,,400811,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,1/07/2025,106999,Data #3 Limited,"Indooroopilly, Qld",,,,,,,,,,,400857,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Patent Application Fee,1/07/2025,10440,FB Rice Pty Ltd,"Sydney South, Nsw",,,,,,,,,,,2133720,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,1/07/2025,35750,LYGON GROUP PTY LTD,"Albert Park, Vic",,,,,,,,,,,2135426,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2025,19800,Macquarie University,"North Ryde, Nsw",,,,,,,,,,,400795,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2025,10717,Monash University,"Monash University, Vic",,,,,,,,,,,2135345,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,1/07/2025,522901,QCIF,"St Lucia, Qld",,,Limited,,,,,,,,2136177,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,1/07/2025,14537,Research Australia,"Darlinghurst, Nsw",,,,,,,,,,,2134542,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2025,102564,Resource 23 Pty Ltd,"Melbourne, Vic",,,,,,,,,,,400808,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,1/07/2025,24565,Shimadzu Oceania Pty Ltd,"Ermington, Nsw",,,,,,,,,,,400791,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Conference Expenses,1/07/2025,33000,Swinburne University Of Technology,"Hawthorn, Vic",,,,,,,,,,,2132859,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,1/07/2025,11791,Testo Pty Ltd,"Bayswater, Vic",,,,,,,,,,,400797,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,1/07/2025,38369,UniJobs Global Pty Ltd,"Brighton, Vic",,,,,,,,,,,2133535,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Pathology Expenditure,1/07/2025,13090,University of Melbourne,"Melbourne, Vic",,,,,,,,,,,400792,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,1/07/2025,11097,Videopro Pty Ltd,"Eagle Farm, Qld",,,,,,,,,,,400801,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",IT Equipment,2/07/2025,58630,Computer Alliance Pty Ltd,"Mount Gravatt, Qld",,,,,,,,,,,400874,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",IT Equipment,2/07/2025,58630,Computer Alliance Pty Ltd,"Mount Gravatt, Qld",,,,,,,,,,,400875,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/07/2025,15395,University Of New England,"Armidale, Nsw",,,,,,,,,,,400898,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,3/07/2025,17915,Bruker Pty Ltd,"Alexandria, Nsw",,,,,,,,,,,400920,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/07/2025,143000,Gold Coast City Council,"Gold Coast Mail Centre, Qld",,,,,,,,,,,400914,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,4/07/2025,44428,Aegis Safety Pty Ltd,"Geebung, Qld",,,,,,,,,,,400966,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,4/07/2025,14155,Dexion Gold Coast,"Helensvale, Qld",,,,,,,,,,,400950,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,4/07/2025,11326,SCHNEIDER ELECTRIC (AUSTRALIA) PTY LIMIT,"Macquarie Park, Nsw",,,,,,,,,,,400976,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,5/07/2025,48851,GHD Pty Ltd,"Hrmc, Nsw",,,,,,,,,,,400978,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,7/07/2025,73831,Data #3 Limited,"Indooroopilly, Qld",,,,,,,,,,,401028,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2025,58850,Flexdata Solutions Pty Ltd,"Brisbane, Qld",,,,,,,,,,,401027,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,7/07/2025,39655,ICAD Consultants Pty Ltd,"Bridgeman Downs, Qld",,,,,,,,,,,401030,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2025,57225,Infoxchange,"Richmond, Vic",,,,,,,,,,,401026,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2025,16830,Mustang Promotions Pty Ltd,"Rochedale South, Qld",,,,,,,,,,,401025,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,7/07/2025,12771,Object Next Software Pty Ltd,"Mount Waverley, Vic",,,,,,,,,,,401006,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,7/07/2025,137446,Oracle Corporation Australia Pty Ltd,"Sydney, Nsw",,,,,,,,,,,401029,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,7/07/2025,25630,PROSYNC INDUSTRIES PTY LTD,"Arundel, Qld",,,,,,,,,,,401008,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,7/07/2025,23650,SDF Electrical Pty Ltd,"Sunnybank Hills, Qld",,,,,,,,,,,401009,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,7/07/2025,15117,Technic Pty Ltd,"Hobart, Tas",,,,,,,,,,,401003,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2025,102960,The Trustee for Evans Family Trust,"Cedar Creek, Qld",,,,,,,,,,,401018,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,8/07/2025,15252,A1 Building & Property Solutions Pty Ltd,"The Gap, Qld",,,,,,,,,,,401050,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Conference Expenses,8/07/2025,10245,Australian Ins. of Company Directors,"Sydney, Nsw",,,,,,,,,,,2135803,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Conference Expenses,8/07/2025,24376,Blacka Wear Pty Ltd,"Cleveland, Qld",,,,,,,,,,,401051,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Electricity / Gas Supply,8/07/2025,18518,BOC Limited,"Labrador, Qld",,,,,,,,,,,401039,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",External Course Delivery,8/07/2025,39993,Corporate Prepaid Cards Pty Ltd,"Balmain, Nsw",,,,,,,,,,,2134137,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Uniforms,8/07/2025,10056,Execugifts,"Helensvale, Qld",,,,,,,,,,,2135929,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,8/07/2025,21758,HUNTRESS ELECTRICAL SOLUTIONS PTY LTD,"Camira, Qld",,,,,,,,,,,2136950,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,8/07/2025,70301,IDEEA Group,"Melbourne, Vic",,,,,,,,,,,401064,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,8/07/2025,40370,Mode Design Corp Pty Ltd,"Fortitude Valley, Qld",,,,,,,,,,,401036,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Conference Expenses,8/07/2025,63735,Murra Wolka Creations,"Burnett Heads, Qld",,,,,,,,,,,401052,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Accreditation Fees,8/07/2025,16764,OT Council (Aus & NZ)  Ltd,"South Perth, Wa",,,,,,,,,,,2137141,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,8/07/2025,16205,Structural Vibration Solutions A/S,Denmark,,,,,,,,,,,401053,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,8/07/2025,40850,TSA PROJECTS PTY LTD,"Molendinar, Qld",,,,,,,,,,,401037,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,9/07/2025,43274,AIRMASTER CORPORATION PTY LTD,"Mansfield, Qld",Yes,,,,,,,,,,401097,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,9/07/2025,987263,DLG SHAPE (QLD) PTY LIMITED,"Brisbane City, Qld",,,Selective,,,,,,,,401096,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,9/07/2025,33000,EMPIRE HOLDINGS (QLD) PTY. LTD.,"Fortitude Valley, Qld",,,,,,,,,,,401072,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,9/07/2025,224752,HIGHER ED SERVICES PTY LTD,"Deakin, Act",,,,,,,,,,,401101,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hire/Lease Fees,9/07/2025,11651,Krankd Audio Visual Productions Pty Ltd,"Southport, Qld",,,,,,,,,,,401073,,,,,,
